Foot,Name,Position,Club,Country,Age,Salary,Goals
Right,Marwin Hitz,Goalkeeper,FC Augsburg,Switzerland,28,4500000,0
Left,Ricardo Rodríguez,Defender,VfL Wolfsburg,Switzerland,23,25000000,0
Right,Denis Zakaria,Midfielder,Young Boys,Switzerland,19,4000000,0
Right,Blerim Džemaili,Midfielder,Genoa,Switzerland,30,3500000,6
Right,Gélson Fernandes,Midfielder,Rennes,Switzerland,29,3000000,2
Right,Shani Tarashaj,Forward,Grasshoppers,Switzerland,21,4000000,0
Right,Admir Mehmedi,Forward,Bayer Leverkusen,Switzerland,25,5000000,3
Right,Eren Derdiyok,Forward,Kasımpaşa,Switzerland,27,4600000,10
Right,Johan Djourou,Defender,Hamburger SV,Switzerland,29,3500000,2
Right,Roman Bürki,Goalkeeper,Borussia Dortmund,Switzerland,25,6000000,0
Right,Fabian Schär,Defender,1899 Hoffenheim,Switzerland,24,4000000,5
Left,Xherdan Shaqiri,Midfielder,Stoke City,Switzerland,24,15000000,17
Right,Joe Hart,Goalkeeper,Manchester City,England,29,17000000,0
Right,Kyle Walker,Defender,Tottenham Hotspur,England,26,15000000,0
Left,Danny Rose,Defender,Tottenham Hotspur,England,25,14000000,0
Right,James Milner,Midfielder,Liverpool,England,30,15000000,1
Right,Gary Cahill,Defender,Chelsea,England,30,16000000,3
Right,Chris Smalling,Defender,Manchester United,England,26,20000000,0
Right,Raheem Sterling,Midfielder,Manchester City,England,21,45000000,2
Both,Adam Lallana,Midfielder,Liverpool,England,28,19000000,0
Right,Harry Kane,Forward,Tottenham Hotspur,England,22,40000000,5
Right,Wayne Rooney,Forward,Manchester United,England,30,35000000,52
Right,Jamie Vardy,Forward,Leicester City,England,29,18000000,3
Right,Nathaniel Clyne,Defender,Liverpool,England,25,21000000,0
Right,Fraser Forster,Goalkeeper,Southampton,England,28,15000000,0
Right,Jordan Henderson,Midfielder,Liverpool,England,25,28000000,0
Left,Daniel Sturridge,Forward,Liverpool,England,26,25000000,5
Right,John Stones,Defender,Everton,England,22,28000000,0
Right,Eric Dier,Midfielder,Tottenham Hotspur,England,22,18000000,1
Left,Jack Wilshere,Midfielder,Arsenal,England,24,23000000,2
Right,Ross Barkley,Midfielder,Everton,England,22,22000000,2
Right,Dele Alli,Midfielder,Tottenham Hotspur,England,20,20000000,1
Left,Ryan Bertrand,Defender,Southampton,England,26,14000000,0
Right,Marcus Rashford,Forward,Manchester United,England,18,6000000,1
Right,Tom Heaton,Goalkeeper,Burnley,England,30,3000000,0
Right,Igor Akinfeev,Goalkeeper,CSKA Moscow,Russia,30,14000000,0
Right,Roman Shishkin,Defender,Lokomotiv Moscow,Russia,29,3000000,0
Right,Igor Smolnikov,Defender,Zenit Saint Petersburg,Russia,27,12000000,0
Right,Sergei Ignashevich,Defender,CSKA Moscow,Russia,36,200000,8
Right,Roman Neustädter,Defender,Schalke 04,Russia,28,7000000,0
Both,Aleksei Berezutski,Defender,CSKA Moscow,Russia,33,1000000,0
Right,Igor Denisov,Midfielder,Dynamo Moscow,Russia,32,4000000,0
Both,Denis Glushakov,Midfielder,Spartak Moscow,Russia,29,5000000,4
Right,Aleksandr Kokorin,Forward,Zenit Saint Petersburg,Russia,25,7000000,11
Right,Fyodor Smolov,Forward,Krasnodar,Russia,26,8000000,5
Both,Pavel Mamayev,Midfielder,Krasnodar,Russia,27,12000000,0
Right,Yuri Lodygin,Goalkeeper,Zenit Saint Petersburg,Russia,26,8000000,0
Right,Aleksandr Golovin,Midfielder,CSKA Moscow,Russia,20,3000000,2
Right,Vasili Berezutski,Defender,CSKA Moscow,Russia,33,3000000,4
Right,Roman Shirokov,Midfielder,CSKA Moscow,Russia,34,1000000,13
Right,Guilherme Marinato,Goalkeeper,Lokomotiv Moscow,Russia,30,6000000,0
Right,Oleg Shatov,Midfielder,Zenit Saint Petersburg,Russia,25,14000000,2
Right,Oleg Ivanov,Midfielder,Terek Grozny,Russia,29,4000000,0
Right,Aleksandr Samedov,Midfielder,Lokomotiv Moscow,Russia,31,4000000,3
Left,Dmitri Torbinski,Midfielder,Krasnodar,Russia,32,1000000,2
Left,Georgi Shchennikov,Defender,CSKA Moscow,Russia,25,4000000,0
Right,Artem Dzyuba,Forward,Zenit Saint Petersburg,Russia,27,10000000,8
Left,Dmitri Kombarov,Defender,Spartak Moscow,Russia,29,5000000,2
Right,Ján Mucha,Goalkeeper,Slovan Bratislava,Slovakia,33,500000,0
Right,Peter Pekarík,Defender,Hertha BSC,Slovakia,29,2500000,2
Right,Martin Škrtel,Defender,Liverpool,Slovakia,31,10000000,5
Left,Ján Ďurica,Defender,Lokomotiv Moscow,Slovakia,34,250000,4
Unknown,Norbert Gyömbér,Defender,Roma,Slovakia,23,750000,0
Right,Ján Greguš,Midfielder,Republic Baumit Jablonec,Slovakia,25,2800000,0
Right,Vladimír Weiss,Midfielder,Al-Gharafa,Slovakia,26,3200000,4
Right,Ondrej Duda,Midfielder,Legia Warsaw,Slovakia,21,500000,1
Right,Stanislav Šesták,Forward,Ferencváros,Slovakia,33,4500000,13
Both,Miroslav Stoch,Midfielder,Bursaspor,Slovakia,26,300000,6
Right,Adam Nemec,Forward,Willem II,Slovakia,30,700000,4
Right,Ján Novota,Goalkeeper,Rapid Wien,Slovakia,32,2000000,0
Both,Patrik Hrošovský,Midfielder,Republic Viktoria Plzeň,Slovakia,24,4500000,0
Right,Milan Škriniar,Defender,Sampdoria,Slovakia,21,700000,0
Right,Tomáš Hubočan,Defender,Dynamo Moscow,Slovakia,30,500000,0
Both,Kornel Saláta,Defender,Slovan Bratislava,Slovakia,31,35000000,2
Left,Marek Hamšík,Midfielder,Napoli,Slovakia,28,750000,17
Right,Dušan Švento,Defender,1. FC Köln,Slovakia,30,8000000,1
Right,Juraj Kucka,Midfielder,Milan,Slovakia,29,3000000,4
Right,Róbert Mak,Midfielder,PAOK,Slovakia,25,2000000,7
Right,Michal Ďuriš,Forward,Republic Viktoria Plzeň,Slovakia,28,350000,3
Unknown,Viktor Pečovský,Midfielder,Žilina,Slovakia,33,1000000,1
Left,Matúš Kozáčik,Goalkeeper,Republic Viktoria Plzeň,Slovakia,32,600000,0
Right,Wayne Hennessey,Goalkeeper,Crystal Palace,Wales,29,3500000,0
Right,Chris Gunter,Defender,Reading,Wales,26,2500000,0
Left,Neil Taylor,Defender,Swansea City,Wales,27,5000000,0
Left,Ben Davies,Defender,Tottenham Hotspur,Wales,23,8000000,0
Right,James Chester,Defender,West Bromwich Albion,Wales,27,5000000,0
Right,Ashley Williams,Defender,Swansea City,Wales,31,6500000,1
Right,Joe Allen,Midfielder,Liverpool,Wales,26,8000000,0
Right,Andy King,Midfielder,Leicester City,Wales,27,3500000,2
Left,Hal Robson-Kanu,Forward,Reading,Wales,27,2000000,2
Both,Aaron Ramsey,Midfielder,Arsenal,Wales,25,30000000,10
Left,Gareth Bale,Forward,Real Madrid,Wales,26,80000000,19
Unknown,Owain Fôn Williams,Goalkeeper,Inverness Caledonian Thistle,Wales,29,250000,0
Left,George Williams,Forward,Gillingham,Wales,20,500000,0
Right,David Edwards,Midfielder,Wolverhampton Wanderers,Wales,30,850000,3
Right,Jazz Richards,Defender,Fulham,Wales,25,750000,0
Left,Joe Ledley,Midfielder,Crystal Palace,Wales,29,3500000,4
Right,David Cotterill,Forward,Birmingham City,Wales,28,750000,2
Right,Sam Vokes,Forward,Burnley,Wales,26,3500000,6
Right,James Collins,Defender,West Ham United,Wales,32,2000000,3
Left,Jonathan Williams,Midfielder,Milton Keynes Dons,Wales,22,750000,0
Right,Danny Ward,Goalkeeper,Liverpool,Wales,22,1500000,0
Left,David Vaughan,Midfielder,Nottingham Forest,Wales,33,1250000,1
Right,Simon Church,Forward,Aberdeen,Wales,27,500000,3
Right,Manuel Neuer,Goalkeeper,Bayern Munich,Germany,30,45000000,0
Right,Shkodran Mustafi,Defender,Valencia,Germany,24,20000000,0
Left,Jonas Hector,Defender,1. FC Köln,Germany,26,11000000,1
Right,Benedikt Höwedes,Defender,Schalke 04,Germany,28,16000000,2
Left,Mats Hummels,Defender,Borussia Dortmund,Germany,27,38000000,4
Right,Sami Khedira,Midfielder,Juventus,Germany,29,20000000,5
Right,Bastian Schweinsteiger,Midfielder,Manchester United,Germany,31,12000000,23
Left,Mesut Özil,Midfielder,Arsenal,Germany,27,50000000,19
Right,André Schürrle,Midfielder,VfL Wolfsburg,Germany,25,18000000,20
Left,Lukas Podolski,Forward,Galatasaray,Germany,31,8000000,48
Right,Julian Draxler,Midfielder,VfL Wolfsburg,Germany,22,24000000,1
Right,Bernd Leno,Goalkeeper,Bayer Leverkusen,Germany,24,16000000,0
Right,Thomas Müller,Forward,Bayern Munich,Germany,26,75000000,31
Right,Emre Can,Midfielder,Liverpool,Germany,22,18000000,0
Right,Julian Weigl,Midfielder,Borussia Dortmund,Germany,20,14000000,0
Right,Antonio Rüdiger,Defender,Roma,Germany,23,12000000,0
Right,Jérôme Boateng,Defender,Bayern Munich,Germany,27,40000000,0
Both,Toni Kroos,Midfielder,Real Madrid,Germany,26,50000000,11
Right,Mario Götze,Midfielder,Bayern Munich,Germany,24,35000000,17
Right,Leroy Sané,Midfielder,Schalke 04,Germany,20,13000000,0
Right,Joshua Kimmich,Defender,Bayern Munich,Germany,21,15000000,0
Both,Marc-André ter Stegen,Goalkeeper,Barcelona,Germany,24,12000000,0
Left,Mario Gómez,Forward,Beşiktaş,Germany,30,18000000,27
Right,Michael McGovern,Goalkeeper,Hamilton Academical,Northern Ireland,31,500000,0
Right,Conor McLaughlin,Defender,Fleetwood Town,Northern Ireland,24,250000,0
Left,Shane Ferguson,Midfielder,Millwall,Northern Ireland,24,750000,1
Right,Gareth McAuley,Defender,West Bromwich Albion,Northern Ireland,36,1000000,7
Both,Jonny Evans,Defender,West Bromwich Albion,Northern Ireland,28,6000000,1
Right,Chris Baird,Defender,Derby County,Northern Ireland,34,500000,0
Both,Niall McGinn,Midfielder,Aberdeen,Northern Ireland,28,750000,2
Right,Steven Davis,Midfielder,Southampton,Northern Ireland,31,6000000,8
Right,Will Grigg,Forward,Wigan Athletic,Northern Ireland,24,1500000,1
Right,Kyle Lafferty,Forward,Birmingham City,Northern Ireland,28,2000000,17
Unknown,Conor Washington,Forward,Queens Park Rangers,Northern Ireland,24,2000000,2
Right,Roy Carroll,Goalkeeper,Notts County,Northern Ireland,38,150000,0
Right,Corry Evans,Midfielder,Blackburn Rovers,Northern Ireland,25,1250000,1
Unknown,Stuart Dallas,Midfielder,Leeds United,Northern Ireland,25,1500000,1
Right,Luke McCullough,Defender,Doncaster Rovers,Northern Ireland,22,250000,0
Right,Oliver Norwood,Midfielder,Reading,Northern Ireland,25,2000000,0
Right,Paddy McNair,Defender,Manchester United,Northern Ireland,21,4500000,0
Right,Aaron Hughes,Defender,Melbourne City,Northern Ireland,36,350000,1
Right,Jamie Ward,Midfielder,Nottingham Forest,Northern Ireland,30,1750000,2
Right,Craig Cathcart,Defender,Watford,Northern Ireland,27,4000000,2
Right,Josh Magennis,Forward,Kilmarnock,Northern Ireland,26,300000,1
Right,Lee Hodson,Defender,Milton Keynes Dons,Northern Ireland,24,350000,0
Right,Alan Mannus,Goalkeeper,St Johnstone,Northern Ireland,34,450000,0
Right,Wojciech Szczęsny,Goalkeeper,Roma,Poland,26,12000000,0
Both,Michał Pazdan,Defender,Legia Warsaw,Poland,28,1700000,0
Right,Artur Jędrzejczyk,Defender,Legia Warsaw,Poland,28,2700000,2
Right,Thiago Cionek,Defender,Palermo,Poland,30,900000,0
Right,Krzysztof Mączyński,Midfielder,Wisła Kraków,Poland,29,1000000,1
Right,Tomasz Jodłowiec,Midfielder,Legia Warsaw,Poland,30,1500000,1
Left,Arkadiusz Milik,Forward,Ajax,Poland,22,10000000,10
Right,Karol Linetty,Midfielder,Lech Poznań,Poland,21,3200000,1
Right,Robert Lewandowski,Forward,Bayern Munich,Poland,27,75000000,34
Right,Grzegorz Krychowiak,Midfielder,Sevilla,Poland,26,30000000,2
Right,Kamil Grosicki,Midfielder,Rennes,Poland,27,4500000,8
Right,Artur Boruc,Goalkeeper,Bournemouth,Poland,36,1000000,0
Right,Mariusz Stępiński,Forward,Ruch Chorzów,Poland,21,1500000,0
Left,Jakub Wawrzyniak,Defender,Lechia Gdańsk,Poland,32,350000,1
Right,Kamil Glik,Defender,Torino,Poland,28,10000000,3
Right,Jakub Błaszczykowski,Midfielder,Fiorentina,Poland,30,7000000,16
Right,Sławomir Peszko,Midfielder,Lechia Gdańsk,Poland,31,400000,2
Right,Bartosz Salamon,Defender,Cagliari,Poland,25,2200000,0
Right,Piotr Zieliński,Midfielder,Empoli,Poland,22,12000000,3
Right,Łukasz Piszczek,Defender,Borussia Dortmund,Poland,31,6000000,2
Right,Bartosz Kapustka,Midfielder,Cracovia,Poland,19,2500000,2
Right,Łukasz Fabiański,Goalkeeper,Swansea City,Poland,31,7000000,0
Right,Filip Starzyński,Midfielder,Zagłębie Lubin,Poland,25,1000000,1
Right,Denys Boyko,Goalkeeper,Beşiktaş,Ukraine,28,2500000,0
Right,Bohdan Butko,Defender,Amkar Perm,Ukraine,25,2000000,0
Right,Yevhen Khacheridi,Defender,Dynamo Kyiv,Ukraine,28,8500000,3
Right,Anatoliy Tymoshchuk,Midfielder,Kairat Almaty,Ukraine,37,200000,4
Right,Oleksandr Kucher,Defender,Shakhtar Donetsk,Ukraine,33,1200000,2
Left,Taras Stepanenko,Midfielder,Shakhtar Donetsk,Ukraine,26,8000000,2
Left,Andriy Yarmolenko,Midfielder,Dynamo Kyiv,Ukraine,26,22000000,24
Right,Roman Zozulya,Forward,Dnipro Dnipropetrovsk,Ukraine,26,3500000,4
Right,Viktor Kovalenko,Midfielder,Shakhtar Donetsk,Ukraine,20,4500000,0
Right,Yevhen Konoplyanka,Midfielder,Sevilla,Ukraine,26,25000000,13
Right,Yevhen Seleznyov,Forward,Kuban Krasnodar,Ukraine,30,3000000,11
Right,Andriy Pyatov,Goalkeeper,Shakhtar Donetsk,Ukraine,31,4000000,0
Both,Vyacheslav Shevchuk,Defender,Shakhtar Donetsk,Ukraine,37,200000,0
Both,Ruslan Rotan,Midfielder,Dnipro Dnipropetrovsk,Ukraine,34,1000000,7
Right,Pylyp Budkivskyi,Forward,Zorya Luhansk,Ukraine,24,2500000,0
Right,Serhiy Sydorchuk,Midfielder,Dynamo Kyiv,Ukraine,25,4500000,2
Right,Artem Fedetskyi,Defender,Dnipro Dnipropetrovsk,Ukraine,31,2500000,2
Right,Serhiy Rybalka,Midfielder,Dynamo Kyiv,Ukraine,26,4500000,0
Right,Denys Harmash,Midfielder,Dynamo Kyiv,Ukraine,26,5000000,2
Left,Yaroslav Rakitskiy,Defender,Shakhtar Donetsk,Ukraine,26,10000000,4
Left,Oleksandr Zinchenko,Midfielder,Ufa,Ukraine,19,4000000,1
Both,Oleksandr Karavayev,Midfielder,Zorya Luhansk,Ukraine,24,2500000,0
Right,Mykyta Shevchenko,Goalkeeper,Zorya Luhansk,Ukraine,23,2500000,0
Right,Ivan Vargić,Goalkeeper,Rijeka,Croatia,29,1750000,0
Right,Šime Vrsaljko,Defender,Sassuolo,Croatia,24,9000000,0
Left,Ivan Strinić,Defender,Napoli,Croatia,28,5000000,0
Both,Ivan Perišić,Midfielder,Internazionale,Croatia,27,19000000,12
Right,Vedran Ćorluka,Defender,Lokomotiv Moscow,Croatia,30,11000000,4
Right,Tin Jedvaj,Defender,Bayer Leverkusen,Croatia,20,8000000,0
Right,Ivan Rakitić,Midfielder,Barcelona,Croatia,28,45000000,10
Right,Mateo Kovačić,Midfielder,Real Madrid,Croatia,22,20000000,1
Right,Andrej Kramarić,Forward,1899 Hoffenheim,Croatia,24,5000000,4
Both,Luka Modrić,Midfielder,Real Madrid,Croatia,30,50000000,10
Right,Darijo Srna,Defender,Shakhtar Donetsk,Croatia,34,5000000,21
Right,Lovre Kalinić,Goalkeeper,Hajduk Split,Croatia,26,2500000,0
Right,Gordon Schildenfeld,Defender,Dinamo Zagreb,Croatia,31,1500000,1
Both,Marcelo Brozović,Midfielder,Internazionale,Croatia,23,15000000,4
Right,Ante Ćorić,Midfielder,Dinamo Zagreb,Croatia,19,5000000,0
Both,Nikola Kalinić,Forward,Fiorentina,Croatia,28,15000000,8
Right,Mario Mandžukić,Forward,Juventus,Croatia,30,19000000,21
Both,Marko Rog,Midfielder,Dinamo Zagreb,Croatia,20,6000000,0
Right,Milan Badelj,Midfielder,Fiorentina,Croatia,27,7000000,1
Right,Marko Pjaca,Forward,Dinamo Zagreb,Croatia,21,7000000,0
Right,Domagoj Vida,Defender,Dynamo Kyiv,Croatia,27,7500000,1
Right,Duje Čop,Forward,Málaga,Croatia,26,3000000,0
Right,Danijel Subašić,Goalkeeper,Monaco,Croatia,31,5000000,0
Left,Petr Čech,Goalkeeper,Arsenal,Czech Republic,34,12000000,0
Right,Pavel Kadeřábek,Defender,1899 Hoffenheim,Czech Republic,24,3500000,2
Left,Michal Kadlec,Defender,Fenerbahçe,Czech Republic,31,2000000,8
Right,Theodor Gebre Selassie,Defender,Werder Bremen,Czech Republic,29,3000000,1
Right,Roman Hubník,Defender,Republic Viktoria Plzeň,Czech Republic,32,400000,2
Right,Tomáš Sivok,Defender,Bursaspor,Czech Republic,32,2500000,5
Right,Tomáš Necid,Forward,Bursaspor,Czech Republic,26,4500000,9
Both,David Limberský,Defender,Republic Viktoria Plzeň,Czech Republic,32,1500000,1
Right,Bořek Dočkal,Midfielder,Republic Sparta Prague,Czech Republic,27,2750000,6
Both,Tomáš Rosický,Midfielder,Arsenal,Czech Republic,35,1500000,22
Left,Daniel Pudil,Midfielder,Sheffield Wednesday,Czech Republic,30,1500000,2
Unknown,Milan Škoda,Forward,Republic Slavia Prague,Czech Republic,30,1500000,2
Right,Jaroslav Plašil,Midfielder,Bordeaux,Czech Republic,34,1000000,6
Right,Daniel Kolář,Midfielder,Republic Viktoria Plzeň,Czech Republic,30,1750000,2
Right,David Pavelka,Midfielder,Kasımpaşa,Czech Republic,25,900000,0
Right,Tomáš Vaclík,Goalkeeper,Basel,Czech Republic,27,4000000,0
Right,Marek Suchý,Defender,Basel,Czech Republic,28,4500000,0
Right,Josef Šural,Midfielder,Republic Sparta Prague,Czech Republic,26,1750000,1
Left,Ladislav Krejčí,Midfielder,Republic Sparta Prague,Czech Republic,23,3750000,4
Right,Jiří Skalák,Midfielder,Brighton,Czech Republic,24,1250000,0
Right,David Lafata,Forward,Republic Sparta Prague,Czech Republic,34,1000000,8
Both,Vladimír Darida,Midfielder,Hertha BSC,Czech Republic,25,7000000,1
Right,Tomáš Koubek,Goalkeeper,Republic Slovan Liberec,Czech Republic,23,900000,0
Left,Iker Casillas,Goalkeeper,Porto,Spain,35,4000000,0
Right,César Azpilicueta,Defender,Chelsea,Spain,26,20000000,0
Right,Gerard Piqué,Defender,Barcelona,Spain,29,40000000,4
Right,Marc Bartra,Defender,Barcelona,Spain,25,12000000,0
Right,Sergio Busquets,Midfielder,Barcelona,Spain,27,50000000,2
Right,Andrés Iniesta,Midfielder,Barcelona,Spain,32,35000000,13
Both,Álvaro Morata,Forward,Juventus,Spain,23,25000000,1
Right,Koke,Midfielder,Atlético Madrid,Spain,24,50000000,0
Right,Lucas Vázquez,Forward,Real Madrid,Spain,24,7500000,0
Right,Cesc Fàbregas,Midfielder,Chelsea,Spain,29,45000000,14
Both,Pedro,Forward,Chelsea,Spain,28,23000000,16
Right,Héctor Bellerín,Defender,Arsenal,Spain,21,13000000,0
Right,David de Gea,Goalkeeper,Manchester United,Spain,25,35000000,0
Right,Thiago,Midfielder,Bayern Munich,Spain,25,25000000,0
Right,Sergio Ramos,Defender,Real Madrid,Spain,30,40000000,10
Right,Juanfran,Defender,Atlético Madrid,Spain,31,16000000,0
Right,Mikel San José,Defender,Athletic Bilbao,Spain,27,8000000,0
Left,Jordi Alba,Defender,Barcelona,Spain,27,35000000,6
Left,Bruno Soriano,Midfielder,Villarreal,Spain,31,8000000,0
Right,Aritz Aduriz,Forward,Athletic Bilbao,Spain,35,3000000,1
Left,David Silva,Midfielder,Manchester City,Spain,30,38000000,23
Right,Nolito,Forward,Celta Vigo,Spain,29,15000000,2
Right,Sergio Rico,Goalkeeper,Sevilla,Spain,22,10000000,0
Right,Volkan Babacan,Goalkeeper,İstanbul Başakşehir,Turkey,27,7500000,0
Right,Semih Kaya,Defender,Galatasaray,Turkey,25,7500000,0
Left,Hakan Balta,Defender,Galatasaray,Turkey,33,1200000,2
Right,Ahmet Yılmaz Çalık,Defender,Gençlerbirliği,Turkey,21,4000000,0
Left,Nuri Şahin,Midfielder,Borussia Dortmund,Turkey,27,7500000,2
Right,Hakan Çalhanoğlu,Midfielder,Bayer Leverkusen,Turkey,22,18000000,6
Right,Gökhan Gönül,Defender,Fenerbahçe,Turkey,31,6500000,1
Right,Selçuk İnan,Midfielder,Galatasaray,Turkey,31,7000000,8
Right,Cenk Tosun,Forward,Beşiktaş,Turkey,25,7000000,3
Both,Arda Turan,Midfielder,Barcelona,Turkey,29,35000000,17
Right,Olcay Şahan,Midfielder,Beşiktaş,Turkey,29,7500000,2
Right,Onur Kıvrak,Goalkeeper,Trabzonspor,Turkey,28,7000000,0
Left,İsmail Köybaşı,Defender,Beşiktaş,Turkey,26,4000000,0
Both,Oğuzhan Özyakup,Midfielder,Beşiktaş,Turkey,23,9500000,1
Both,Mehmet Topal,Midfielder,Fenerbahçe,Turkey,30,12000000,1
Right,Ozan Tufan,Midfielder,Fenerbahçe,Turkey,21,7500000,1
Both,Burak Yılmaz,Forward,Beijing Guoan,Turkey,30,5500000,19
Left,Caner Erkin,Midfielder,Fenerbahçe,Turkey,27,11000000,2
Right,Yunus Mallı,Midfielder,1. FSV Mainz 05,Turkey,24,9000000,0
Right,Volkan Şen,Midfielder,Fenerbahçe,Turkey,28,5250000,0
