Datafile	Aliasfile	Query	Attributes	Tasks	Visualizations
superstore.csv	superstore.json	['What is the average profit of different segments on the ship modes of transport']			
superstore.csv	superstore.json	['What is the average profit of each country']			
superstore.csv	superstore.json	['summarize the total profit by region using by a stacked bar plot']			
superstore.csv	superstore.json	['Scatterplot profit vs sales with color indicating geographic region of the U.S.']			
superstore.csv	superstore.json	['Scatterplot of sales vs. profit']			
superstore.csv	superstore.json	"['For each data element, draw a circle at (its sales, profit) with the proper color by the region']"			
superstore.csv	superstore.json	['Show me the count of each subcategory of product']			
superstore.csv	superstore.json	['Show me the sales versus profit of each region']			
superstore.csv	superstore.json	['Show me the profit versus sales']			
superstore.csv	superstore.json	['Bar Graph AVG(Profit) by State']			
superstore.csv	superstore.json	['Scatterplot Region X=Sales Y=Profit ']			
superstore.csv	superstore.json	['Stacked Barchart Ship Status X=Region Y=SUM(Profit)']			
superstore.csv	superstore.json	['Bar Chart Count by Sub-Category']			
superstore.csv	superstore.json	['Create bar chart based on state and AVG(Profit)']			
superstore.csv	superstore.json	['Scatterplot Sales by Profit']			
superstore.csv	superstore.json	['show a line chart of semi sales by category']			
superstore.csv	superstore.json	['Ship Mode Bar Chart AVG(Profit) by Segment)']			
superstore.csv	superstore.json	"[""Show a bar graph by region showing the various ship status'""]"			
superstore.csv	superstore.json	['Show correlation between sales and profit']			
superstore.csv	superstore.json	['Show the average profit by state']			
superstore.csv	superstore.json	['Visualize in one chart sales and profits by product by region']			
superstore.csv	superstore.json	"['show profit vs sales as scatter plot', 'use a different color for each region']"			
superstore.csv	superstore.json	['show the average profit by state']			
superstore.csv	superstore.json	['show sales and profit as a scatter plot']			
superstore.csv	superstore.json	['Can you create a graph showing sales and profit by region?']			
superstore.csv	superstore.json	"['by region, draw a scatterplot of sales and profit, with sales on the x axis']"			
superstore.csv	superstore.json	['Show me by region sales and profits by product']			
superstore.csv	superstore.json	['Region Scatterplot Profit by Sales']			
superstore.csv	superstore.json	['Show me how many products were ordered by sub-category']
