Name,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Population,Average Cost,Expenditure,Average Faculty Salary,Median Debt,Median Family Income,Median Earnings
Washington University in St Louis,Private,Great Plains,Large Suburb,16,33,1474,6851,62594,97613,13286,19500,77947.5,58300
Georgetown University,Private,Mid Atlantic,Large City,17,31,1398,7261,59900,29282,12851,17125,60247,76200
Middlebury College,Private,New England,Distant Town,17,32,1391,2466,59200,23214,10599,17777.5,60997.5,49100
Rice University,Private,Southwest,Large City,17,33,1454,3920,52242,39651,13468,7727,71258,56500
Williams College,Private,New England,Fringe Town,17,32,1439,2051,59412,39164,12027,11248,88403.5,46400
Johns Hopkins University,Private,Mid Atlantic,Large City,18,32,1418,5932,58980,75570,10922,17500,57761.5,64400
University of California-Berkeley,Public,Far West,Mid-size City,18,30,1350,25951,32715,18072,14652,14480,39266,53000
Washington and Lee University,Private,Southeast,Distant Town,18,32,1392,1846,56616,28860,12144,18543,112856,61800
Tufts University,Private,New England,Large Suburb,19,32,1428,5146,58752,21026,11427,17300,64738,57400
Albany State University,Public,Southeast,Small City,20,19,887,3566,19025,7089,5607,24500,29794,27900
University of Southern California,Private,Far West,Large City,20,31,1380,18087,59787,42077,13045,21500,42938,62300
Barnard College,Private,Mid Atlantic,Large City,21,30,1340,2486,59581,21351,11888,16000,77701,46900
Carleton College,Private,Great Plains,Distant Town,21,31,1406,2023,58275,26533,10669,16644,91175.5,42700
Robert Morris University Illinois,Private,Great Lakes,Large City,21,0,0,2775,32074,5187,6485,14500,27199,28500
Wesleyan University,Private,New England,Small City,21,31,1387,2888,61167,24442,11163,17625,88497,42000
Colorado College,Private,Rocky Mountains,Large City,22,30,1323,2025,54200,20972,10886,17255,73379,34400
Liberty University,Private,Southeast,Small City,22,23,1030,47079,31344,2167,4102,12612,51134,31400
Missouri Valley College,Private,Great Plains,Remote Town,22,20,920,1411,28754,3545,4635,10500,49223.5,31000
University of California-Los Angeles,Public,Far West,Large City,22,28,1289,28667,31474,38489,15089,15200,34557.5,51000
University of Notre Dame,Private,Great Lakes,Large Suburb,22,33,1450,8466,57805,26795,12629,20300,106005,63200
CUNY Lehman College,Public,Mid Atlantic,Large City,23,0,1020,9020,12957,10149,7271,7500,20048.5,38100
Haverford College,Private,Mid Atlantic,Large Suburb,23,32,1400,1187,59654,27567,10341,13399,89312.5,46000
Le Moyne-Owen College,Private,Southeast,Large City,23,16,760,1009,16427,4198,4750,12250,17437.5,23300
Mississippi Valley State University,Public,Southeast,Remote Town,23,17,825,1856,17758,8408,5621,20969,17447,21000
Bates College,Private,New England,Small City,24,0,0,1791,59285,21446,10374,16425,106531,47600
Vassar College,Private,Mid Atlantic,Large Suburb,24,32,1394,2436,59320,29148,11065,16590,102049,42300
Carnegie Mellon University,Private,Mid Atlantic,Large City,25,32,1432,5834,59710,24821,11055,23000,90107.5,72200
CUNY Bernard M Baruch College,Public,Mid Atlantic,Large City,25,0,1225,13698,15112,7969,8651,10000,21425,49500
University of Puerto Rico-Bayamon,Public,Outlying Areas,Large Suburb,25,0,0,4847,8509,4930,5738,4500,22433.5,0
Colby College,Private,New England,Remote Town,26,30,1343,1820,57300,20179,11329,18500,104003,45700
Colgate University,Private,Mid Atlantic,Distant Town,26,31,1370,2872,57745,21634,10985,15062.5,91654,53400
Davidson College,Private,Southeast,Large Suburb,26,31,1353,1782,54930,17631,11706,15750,111520,47900
Emory University,Private,Southeast,Large Suburb,26,31,1363,7705,58180,33796,12133,19000,64962,56900
New York University,Private,Mid Atlantic,Large City,26,30,1352,22172,60059,28606,13434,21500,74827,52500
Tulane University of Louisiana,Private,Southeast,Large City,26,31,1341,8290,58904,21299,10880,20001,45863.5,51200
Hamilton College,Private,Mid Atlantic,Fringe Rural,27,31,1384,1909,57420,28954,11159,15500,99145,52600
Rhode Island School of Design,Private,New England,Mid-size City,27,28,1239,2005,59597,20460,7949,25000,75194,39200
Babson College,Private,New England,Large Suburb,28,28,1258,2106,58450,13960,14952,27000,80987,74700
University of Arkansas at Pine Bluff,Public,Southeast,Small City,28,18,842,2503,15414,7154,5341,13698.5,23857,23700
University of North Carolina at Chapel Hill,Public,Southeast,Small City,28,30,1313,17882,23069,25891,11392,15000,64969.5,48000
Chicago State University,Public,Great Lakes,Large City,29,19,892,4321,18472,14592,7512,20862.5,19349,31200
Wellesley College,Private,New England,Large Suburb,29,31,1399,2347,57164,32790,12025,8000,74657,52800
Bucknell University,Private,Mid Atlantic,Distant Town,30,30,1306,3498,59090,19054,10168,25000,102976,54800
CUNY Hunter College,Public,Mid Atlantic,Large City,30,0,1160,15697,14478,8762,7895,9500,22554,40400
Oberlin College,Private,Great Lakes,Fringe Town,30,30,1354,2894,59683,27620,9872,23250,97279,33200
Texas Wesleyan University,Private,Southwest,Large City,30,21,997,1719,30696,9982,6803,19500,36026,40700
University of Virginia-Main Campus,Public,Southeast,Small City,30,31,1362,15020,25255,16577,12428,17746,84687,53600
California Polytechnic State University-San Luis Obispo,Public,Far West,Small Suburb,31,28,1242,18664,23867,9907,8675,17500,72114,55400
California State University-Long Beach,Public,Far West,Large City,31,21,1012,30440,18085,7422,8671,14494,30725,42400
Lehigh University,Private,Mid Atlantic,Small City,31,30,1322,4904,55441,19955,12344,22500,102543,68600
Pontifical Catholic University of Puerto Rico-Mayaguez,Private,Outlying Areas,Small City,31,0,0,1369,9351,7395,3645,7500,14907,16600
San Diego State University,Public,Far West,Large City,31,24,1090,26625,20252,6797,9229,14495,37534,44000
University of Richmond,Private,Southeast,Mid-size City,31,30,1313,3107,55980,18204,10983,18370,90735.5,51500
Boston College,Private,New England,Small City,32,32,1375,9465,58639,18302,13355,19000,81102,61800
CUNY Brooklyn College,Public,Mid Atlantic,Large City,32,0,1100,12625,13903,8845,7529,9500,19691,39300
Northeastern University,Private,New England,Large City,32,32,1394,13204,55914,13078,11581,25759.5,83394,56400
Trinity College,Private,New England,Mid-size City,32,27,1240,2239,59865,23403,10884,19275,87726,50300
Universidad del Sagrado Corazon,Private,Outlying Areas,Large City,32,0,0,5097,11651,3595,3818,10500,17577,17100
Central State University,Public,Great Lakes,Fringe Rural,33,17,825,2028,17380,6839,6423,17411,25877,20500
College of the Holy Cross,Private,New England,Mid-size City,33,0,0,2878,56706,18859,9666,27000,108458,55800
College of William and Mary,Public,Southeast,Small Suburb,33,30,1358,6235,25938,13265,10253,19500,98940,48800
Fort Valley State University,Public,Southeast,Fringe Town,33,0,830,2805,19801,5209,6189,19000,30464.5,24000
George Washington University,Private,Mid Atlantic,Large City,33,29,1297,10121,58925,19705,13058,22723,85746,60100
SUNY at Purchase College,Public,Mid Atlantic,Large Suburb,33,24,1082,4017,22381,10361,7092,19750,63153,30900
University of Michigan-Ann Arbor,Public,Great Lakes,Mid-size City,33,30,1352,28077,25760,22051,10509,21000,69630,53400
University of Missouri-Kansas City,Public,Great Plains,Large City,33,24,1105,8309,23437,15048,8305,15750,40642,41300
Berea College,Private,Southeast,Distant Town,34,24,1113,1587,30396,15067,7357,5496.5,29786.5,29700
CUNY City College,Public,Mid Atlantic,Large City,34,0,1110,11820,14041,13009,8257,10000,20534,39700
CUNY John Jay College of Criminal Justice,Public,Mid Atlantic,Large City,34,0,950,12838,13308,8585,7339,8251,23126,37600
Lafayette College,Private,Mid Atlantic,Large Suburb,34,29,1283,2452,57688,20383,10996,21648,107123,62400
Macalester College,Private,Great Plains,Large City,34,31,1350,2029,55393,17781,9450,21996.5,85439.5,38900
Oakwood University,Private,Southeast,Mid-size City,34,20,924,1854,34705,7656,5307,22000,42094.5,27300
Warner University,Private,Southeast,Fringe Rural,34,19,908,1023,28555,3166,4638,15306,38439.5,37000
CUNY York College,Public,Mid Atlantic,Large City,35,0,905,7361,13967,8154,7001,7000,21863,35700
Dillard University,Private,Southeast,Large City,35,19,884,1183,25343,12462,6288,20000,31979,28000
Grinnell College,Private,Great Plains,Remote Town,35,30,1357,1661,53318,23516,9129,10022.5,88440,37600
Skidmore College,Private,Mid Atlantic,Small Suburb,35,28,1247,2646,58562,19402,9067,19500,79221,41900
Southwestern Assemblies of God University,Private,Southwest,Large Suburb,35,0,0,1669,29652,5596,5329,16970,40330,29600
Tuskegee University,Private,Southeast,Distant Town,35,20,937,2584,32853,13235,6679,23687.5,39069,30800
Wake Forest University,Private,Southeast,Mid-size City,35,0,0,4812,58260,26136,10928,21000,103314,52800
Berklee College of Music,Private,New England,Large City,36,0,0,4402,56335,20301,9480,21046,79421,26200
Brigham Young University-Hawaii,Private,Far West,Fringe Town,36,24,1081,2664,14544,11999,8794,5780,22339,34100
Connecticut College,Private,New England,Small City,36,0,0,1878,58690,18480,9574,20712.5,94160,44500
Coppin State University,Public,Mid Atlantic,Large City,36,0,880,2880,16147,8608,6952,12250,29366,33300
Hampton University,Private,Southeast,Mid-size City,36,21,990,3529,32358,8966,7455,22870,55050,38000
Southern University and A & M College,Public,Southeast,Mid-size City,36,19,890,5666,17928,6369,6158,24250,23636,28700
University of Rochester,Private,Mid Atlantic,Mid-size City,36,31,1353,6047,59156,29937,12762,24325.5,85192,50200
Brandeis University,Private,New England,Small City,37,30,1347,3603,58850,14309,11328,26000,97995,47400
Colorado School of Mines,Public,Rocky Mountains,Large Suburb,37,29,1298,4197,29091,13498,10579,22625,74554,73000
CUNY Queens College,Public,Mid Atlantic,Large City,37,0,1100,14424,13676,8204,7624,9054,22794.5,42300
Inter American University of Puerto Rico-Metro,Private,Outlying Areas,Large City,37,0,0,6844,13319,3611,4998,7250,13417.5,17500
Johnson C Smith University,Private,Southeast,Large City,37,17,826,1382,30314,6837,6158,18750,34256.5,25100
Marist College,Private,Mid Atlantic,Large Suburb,37,0,0,5295,45962,10995,8532,22034,104976.5,46800
Pepperdine University,Private,Far West,Large Suburb,37,0,1235,3516,58772,11299,11650,25000,60331,52100
Union College,Private,Mid Atlantic,Small City,37,30,1313,2206,58023,20763,10454,24334,98739.5,54700
Andrews University,Private,Great Lakes,Fringe Town,38,23,1070,1765,33653,11640,4961,23000,53737,33400
Bard College,Private,Mid Atlantic,Fringe Town,38,0,0,1957,60280,23839,10804,20476,86752.5,29400
Bryan College-Dayton,Private,Southeast,Distant Town,38,23,1053,1209,29489,4331,4166,9722,55458.5,35400
Hardin-Simmons University,Private,Southwest,Mid-size City,38,23,1035,1690,32001,9644,6653,16137,60884,36700
Kentucky State University,Public,Southeast,Distant Town,38,18,860,2131,18387,7431,6102,14750,31104,26100
Kenyon College,Private,Great Lakes,Distant Town,38,30,1328,1694,57910,19725,8924,16491,110054,37400
Southern Adventist University,Private,Southeast,Large Suburb,38,23,1050,2693,29085,9131,5123,18554,57374,33600
Spelman College,Private,Southeast,Large City,38,22,1024,2129,41635,11178,7514,25500,54315,40600
Stevens Institute of Technology,Private,Mid Atlantic,Large Suburb,38,30,1305,2662,59479,14918,9474,26500,87408,79200
University of California-San Diego,Public,Far West,Large City,38,28,1276,23792,29751,22757,13126,18463,41248,50100
Western Carolina University,Public,Southeast,Fringe Rural,38,22,1034,8238,17805,7906,7493,15000,55820,32200
Franklin and Marshall College,Private,Mid Atlantic,Small City,39,0,0,2262,58518,18944,9332,23000,113508,47200
Stony Brook University,Public,Mid Atlantic,Large Suburb,39,28,1253,15724,20611,18552,10346,17000,42408,48200
Tiffin University,Private,Great Lakes,Distant Town,39,21,969,3309,34771,2238,6822,12033,56315,34000
University of La Verne,Private,Far West,Large Suburb,39,23,1035,5128,45305,7629,8605,22218,39519,45300
Bryn Mawr College,Private,Mid Atlantic,Large Suburb,40,30,1334,1316,57586,30846,9775,22650,70896,46800
The University of Texas at Austin,Public,Southwest,Large City,40,28,1262,39323,25176,16906,10900,20500,62086,48600
University of Miami,Private,Southeast,Large Suburb,40,30,1332,11246,57700,28251,11115,18750,59417,51100
Washington & Jefferson College,Private,Mid Atlantic,Large Suburb,40,0,0,1300,49507,12527,7571,27000,95549.5,43800
Catawba College,Private,Southeast,Mid-size Suburb,41,0,985,1273,37818,7026,6342,16500,61774,34400
Georgia Regents University,Public,Southeast,Mid-size City,41,21,1002,5456,7715,18217,7938,6250,0,0
Gordon College,Private,New England,Large Suburb,41,26,1156,1681,43140,9906,7783,23000,88787,36700
LeTourneau University,Private,Southwest,Small City,41,26,1175,2173,37031,7550,7287,23250,44614.5,44500
New Jersey City University,Public,Mid Atlantic,Large City,41,0,917,6373,19058,9780,9101,13250.5,30520,38800
New Mexico Institute of Mining and Technology,Public,Southwest,Remote Town,41,26,1200,1490,17600,9268,6908,9283,42214,48600
Rensselaer Polytechnic Institute,Private,Mid Atlantic,Small City,41,29,1366,5379,59470,20550,12145,27000,94717.5,70100
University of Connecticut-Stamford,Public,New England,Mid-size City,41,21,1017,1224,13028,4958,14803,18983,86510,49700
University of Tulsa,Private,Southwest,Large City,41,29,1279,3394,46560,16047,9672,20500,64324,41400
Barton College,Private,Southeast,Fringe Town,42,20,939,1043,37437,6597,5838,21500,43763.5,33800
Case Western Reserve University,Private,Great Lakes,Large City,42,31,1377,4551,55783,31974,10272,22500,57740,61800
Dallas Baptist University,Private,Southwest,Large City,42,23,1078,3375,32489,7945,7607,17348.5,48905.5,39900
Delaware State University,Public,Mid Atlantic,Small City,42,18,890,3719,20506,10853,7478,15000,40163,30500
Florida Memorial University,Private,Southeast,Large Suburb,42,0,0,1517,25036,6668,6895,23750,21893.5,23700
Gettysburg College,Private,Mid Atlantic,Small City,42,28,1282,2520,55770,15043,9257,19957,107490,46200
Lander University,Public,Southeast,Distant Town,42,20,945,2750,21628,5092,5675,15250,45814,31300
Occidental College,Private,Far West,Large City,42,29,1303,2101,60655,16465,10402,20900,67714.5,41100
Prairie View A & M University,Public,Southwest,Distant Town,42,18,845,6731,16782,5864,7307,17438,34372,30900
University of California-Irvine,Public,Far West,Mid-size City,42,24,1122,23517,28980,17853,12839,15500,50385,47100
University of Connecticut-Tri-Campus,Public,New England,Mid-size Suburb,42,22,1015,2382,13099,3882,12909,18983,86510,49700
Alderson Broaddus University,Private,Southeast,Distant Town,43,22,989,1032,33057,7403,4924,9500,48013,43500
American University,Private,Mid Atlantic,Large City,43,28,1258,6829,55159,12700,11074,19500,86431,51600
Bluefield State College,Public,Southeast,Remote Town,43,19,905,1708,14940,5800,6170,13000,21135,25700
Florida International University,Public,Southeast,Large Suburb,43,26,1154,38234,18426,6702,9653,13750,27626,40500
Mississippi University for Women,Public,Southeast,Remote Town,43,21,995,2252,15935,6017,5914,14000,26756,31400
Smith College,Private,New England,Large Suburb,43,0,0,2606,57913,25233,11800,19000,68708.5,37900
SUNY at Binghamton,Public,Mid Atlantic,Mid-size Suburb,43,29,1297,12940,21966,10953,9059,17750,57865.5,52100
The College of New Jersey,Public,Mid Atlantic,Large Suburb,43,0,1235,6446,28943,11117,9518,21500,96654.5,52000
Bentley University,Private,New England,Small City,44,28,1234,4172,54806,13149,12158,26000,93494,69000
California State University-Monterey Bay,Public,Far West,Mid-size Suburb,44,21,976,5153,18479,8677,7478,13750,38387,37100
Dickinson College,Private,Mid Atlantic,Small City,44,29,1285,2352,58149,17811,8726,19545,100478,48700
Grambling State University,Public,Southeast,Distant Town,44,18,863,4100,20881,4912,5794,23750,23973,24800
Inter American University of Puerto Rico-Bayamon,Private,Outlying Areas,Large Suburb,44,0,0,4681,10413,2878,4455,7250,13417.5,17500
Lawrence Technological University,Private,Great Lakes,Small City,44,25,1145,3033,39890,10272,7585,21500,63620,50000
Oral Roberts University,Private,Southwest,Large City,44,23,1037,2884,35070,7486,6551,22500,53889,32200
State University of New York at New Paltz,Public,Mid Atlantic,Large Suburb,44,25,1129,6397,20428,10228,6719,17500,59391,38500
University of California-Santa Barbara,Public,Far West,Mid-size Suburb,44,27,1212,19362,31913,10571,13048,15000,51240,45600
University of Minnesota-Twin Cities,Public,Great Plains,Large City,44,28,1270,30271,24278,13003,10892,18822,72908.5,43300
University of South Florida-St Petersburg,Public,Southeast,Mid-size City,44,23,1070,3955,18821,5212,8331,16954,0,37900
Chapman University,Private,Far West,Mid-size City,45,27,1208,5940,57020,13977,11095,19000,53889,48000
Florida Agricultural and Mechanical University,Public,Southeast,Mid-size City,45,20,947,8825,19191,7958,7994,20750,33649,32300
Middle Georgia State College,Public,Southeast,Small City,45,0,0,7164,13472,5823,5105,8000,0,0
Newman University,Private,Great Plains,Large City,45,24,1079,1276,33524,4504,5684,16945,43838,39500
Southeastern Louisiana University,Public,Southeast,Small City,45,22,1030,11704,15729,5391,6335,11670,32109.5,33400
Texas Southern University,Public,Southwest,Large City,45,17,832,6288,22311,9114,7660,17311.5,22626,25900
University of California-Davis,Public,Far West,Small Suburb,45,26,1192,26483,31803,21365,12065,13626.5,41894,48500
University of Puerto Rico-Humacao,Public,Outlying Areas,Large Suburb,45,0,0,3383,11686,9908,5812,4500,22433.5,0
University of South Florida-Main Campus,Public,Southeast,Large City,45,26,1168,30376,19299,8322,8082,16954,36808.5,37900
West Virginia State University,Public,Southeast,Mid-size Suburb,45,20,942,2195,13756,6569,6067,12916,25404.5,27000
Baptist Memorial College of Health Sciences,Private,Southeast,Large City,46,25,1125,1101,19745,9801,6442,21000,41376,50100
Boston University,Private,New England,Large City,46,28,1279,16460,59036,27281,12360,25500,91507,53600
California State University-Fullerton,Public,Far West,Large Suburb,46,22,1021,33000,16663,7685,8521,12900.5,31500,40500
California State University-Northridge,Public,Far West,Large City,46,19,918,33581,20899,6952,8395,12500,27373,38300
Concord University,Public,Southeast,Remote Town,46,21,980,2474,17146,5358,6123,11028,37164,27800
Denison University,Private,Great Lakes,Small Suburb,46,29,1285,2255,54490,17853,8414,22000,101305,43100
Muhlenberg College,Private,Mid Atlantic,Mid-size City,46,28,1246,2357,53637,14525,8429,24187,110473,49100
Otis College of Art and Design,Private,Far West,Large City,46,22,1002,1029,52397,16683,6936,26500,36748,42400
Spring Hill College,Private,Southeast,Mid-size City,46,24,1100,1269,43325,6999,6057,20500,58994,37500
St Lawrence University,Private,Mid Atlantic,Remote Town,46,0,0,2391,57423,16095,8789,26000,90213,41800
St Thomas University,Private,Southeast,Large Suburb,46,19,904,1035,37090,7162,9486,16500,35584,41600
SUNY College at Geneseo,Public,Mid Atlantic,Distant Town,46,28,1274,5463,21004,10011,7177,18500,84076,42500
SUNY College at Plattsburgh,Public,Mid Atlantic,Distant Town,46,22,1026,5494,20371,10349,6830,18750,65821,36600
Wilmington College,Private,Great Lakes,Fringe Rural,46,22,1006,1163,39415,6005,5915,21576,61722,35000
Barry University,Private,Southeast,Large Suburb,47,19,930,4284,41019,10646,7696,21500,37767.5,42200
Christian Brothers University,Private,Southeast,Large City,47,24,1105,1156,34413,6948,5988,20600,41418,41800
Concordia University-Texas,Private,Southwest,Large City,47,23,1035,1493,37394,5736,6269,15224,58229.5,37200
Cumberland University,Private,Southeast,Fringe Town,47,21,986,1198,33402,6408,5864,17259,47713,36600
Fordham University,Private,Mid Atlantic,Large City,47,28,1258,8193,56604,13784,12679,21500,74870,50300
Inter American University of Puerto Rico-Arecibo,Private,Outlying Areas,Small City,47,0,0,4275,12408,2610,4242,7250,13417.5,17500
Jacksonville University,Private,Southeast,Large City,47,22,1010,3360,42459,8135,6923,15000,55957,42100
La Sierra University,Private,Far West,Large City,47,20,926,2060,39842,10375,7230,14500,51186,37300
Mount Holyoke College,Private,New England,Large Suburb,47,0,0,2154,55496,19911,9715,20000,73414.5,39300
North Carolina Wesleyan College,Private,Southeast,Small City,47,18,863,1602,36686,5604,5438,13514,38164.5,35100
Northern Kentucky University,Public,Southeast,Large Suburb,47,22,1024,11976,14603,7303,6780,15000,53630,32800
SUNY College at Cortland,Public,Mid Atlantic,Distant Town,47,23,1058,6394,21840,9182,6517,18750,77274.5,40400
Texas Christian University,Private,Southwest,Large City,47,27,1206,8597,48189,14422,10206,19500,81852.5,45800
University of Florida,Public,Southeast,Mid-size City,47,29,1272,32346,20456,15167,10498,14546,45776.5,46600
University of Maryland-College Park,Public,Mid Atlantic,Large Suburb,47,0,1310,26045,22933,12725,11628,17500,75194,54400
Virginia Military Institute,Public,Southeast,Distant Town,47,25,1141,1675,24643,12475,7426,19710,89939.5,53300
Belhaven University,Private,Southeast,Mid-size City,48,22,1033,2487,33375,4341,4327,19500,36084,33100
California Lutheran University,Private,Far West,Mid-size City,48,24,1108,2882,48630,8149,9597,19500,76461,44300
Clayton State University,Public,Southeast,Large Suburb,48,20,939,6445,17487,5310,6019,18997,30868,34900
Emerson College,Private,New England,Large City,48,28,1240,3720,51158,9283,9204,21500,94808,38900
Florida Atlantic University,Public,Southeast,Small City,48,22,1039,24685,19131,6131,7962,12500,32086,37800
Gardner-Webb University,Private,Southeast,Distant Town,48,22,1018,2559,35790,6176,6413,17840,46379.5,34400
Inter American University of Puerto Rico-Barranquitas,Private,Outlying Areas,Large Suburb,48,0,0,2005,11331,2915,3980,7250,13417.5,17500
Oklahoma Panhandle State University,Public,Southwest,Distant Rural,48,19,890,1238,15439,5257,4967,9375,33556,32300
SUNY College at Brockport,Public,Mid Atlantic,Fringe Town,48,24,1069,7040,19511,11538,7181,17750,62559,37600
SUNY Institute of Technology at Utica-Rome,Public,Mid Atlantic,Mid-size Suburb,48,24,1053,1714,19843,9945,8487,13193.5,40836.5,44800
Texas A & M International University,Public,Southwest,Mid-size City,48,18,892,6560,15272,5482,7689,11250,23615.5,41100
The University of West Florida,Public,Southeast,Small City,48,24,1062,9906,18158,5710,7392,12500,34467,33400
Abilene Christian University,Private,Southwest,Mid-size City,49,24,1087,3647,39811,8737,5508,20698.5,75873.5,37200
Brigham Young University-Provo,Private,Rocky Mountains,Mid-size City,49,29,1277,27765,17174,13268,9649,9260.5,20347,47400
Buffalo State SUNY,Public,Mid Atlantic,Large City,49,0,975,9190,18088,9298,7444,15895.5,45557,34300
College for Creative Studies,Private,Great Lakes,Large City,49,22,1010,1352,46095,10845,6882,24000,65746,33200
Daemen College,Private,Mid Atlantic,Large Suburb,49,0,0,1971,32649,7624,5947,15750,56566,36900
Dickinson State University,Public,Great Plains,Remote Town,49,21,965,1257,13314,9327,6315,13000,47245.5,35400
Hobart William Smith Colleges,Private,Mid Atlantic,Distant Town,49,0,0,2311,57699,13098,9360,26500,95616.5,43800
Howard University,Private,Mid Atlantic,Large City,49,24,1081,6855,40129,22191,8566,24250,47531,42400
Lane College,Private,Southeast,Small City,49,15,716,1554,17406,4813,4704,16018,25617,20300
Ohio Dominican University,Private,Great Lakes,Large City,49,22,1028,1483,40370,5064,6712,21081.5,49137.5,35200
Oklahoma Wesleyan University,Private,Southwest,Distant Town,49,21,981,1110,32241,6127,5309,16664,53772,46700
Reed College,Private,Far West,Large City,49,31,1371,1351,57701,20261,10092,15500,69123.5,28400
Simmons College,Private,New England,Large City,49,26,1149,1710,51093,12373,8098,25000,67781,46500
Southern University at New Orleans,Public,Southeast,Large City,49,17,808,1782,10889,10302,5830,18442,16097,26100
SUNY College at Oswego,Public,Mid Atlantic,Distant Town,49,24,1110,7245,21222,9804,6733,18750,63043,36400
Syracuse University,Private,Mid Atlantic,Mid-size City,49,26,1158,14738,55600,14915,10822,27000,80005.5,50800
University of Central Florida,Public,Southeast,Large Suburb,49,26,1175,50919,19815,5403,8646,15000,38367.5,39300
University of San Diego,Private,Far West,Large City,49,28,1228,5573,56346,13166,11648,19500,69873.5,53400
Villanova University,Private,Mid Atlantic,Large Suburb,49,30,1316,6856,56265,15426,10425,25000,112696,65100
William Carey University,Private,Southeast,Small City,49,24,1105,2166,23962,6338,5888,18375,25265,32500
Flagler College-St Augustine,Private,Southeast,Small Suburb,50,23,1096,2839,28305,5796,6087,16500,61140,33800
Florida Southern College,Private,Southeast,Small City,50,25,1102,2379,38413,6857,7152,18375,56919.5,35900
Graceland University-Lamoni,Private,Great Plains,Remote Rural,50,21,969,1434,34494,8769,4986,18089.5,52671.5,33200
Mount Olive College,Private,Southeast,Fringe Town,50,19,915,3336,26161,3143,6231,18845,38102,35200
Nevada State College,Public,Far West,Large City,50,0,0,3076,16547,4910,7570,11819.5,45534,0
North Carolina Central University,Public,Southeast,Mid-size City,50,18,859,5876,17873,10084,7653,21670,29880,30200
North Carolina State University at Raleigh,Public,Southeast,Large City,50,28,1229,22977,20511,13831,9774,17750,66351,44100
Notre Dame of Maryland University,Private,Mid Atlantic,Large City,50,22,1036,1220,41871,10035,7064,21732.5,56669,45600
University of New Orleans,Public,Southeast,Large City,50,23,1072,6854,16212,8079,7448,11750,27630.5,32900
Alabama State University,Public,Southeast,Mid-size City,51,17,830,5354,17400,7393,6557,15854.5,24029.5,22400
Bethel University,Private,Southeast,Distant Town,51,20,930,5063,26864,7006,3935,14531,37640.5,35200
Olivet College,Private,Great Lakes,Distant Rural,51,20,927,1016,31515,5069,5258,19000,57515,31000
Pacific Union College,Private,Far West,Fringe Rural,51,22,1017,1601,38800,9586,6452,20832,64885,44600
Reinhardt University,Private,Southeast,Fringe Rural,51,22,1013,1191,30734,6378,5710,9500,67316.5,33600
Saint Xavier University,Private,Great Lakes,Large City,51,22,1010,2891,35284,8567,7886,19150,53937,40800
Santa Clara University,Private,Far West,Mid-size City,51,29,1294,5404,57213,10783,11662,19500,100259,61500
South Carolina State University,Public,Southeast,Distant Town,51,18,851,2876,25265,8132,6666,21750,28809,25100
Southern Methodist University,Private,Southwest,Large Suburb,51,29,1302,6295,57947,15884,11283,19000,63543.5,50400
